Company,Rating,Reviews
ZS,3.1,2.7k
Flex,3.9,2.7k
Micro Labs,3.6,2.7k
Star Health & Allied Insurance,3.5,2.7k
TVS Supply Chain Solutions,3.8,2.7k
Capita,3.5,2.7k
ElasticRun,3.6,2.7k
KFintech,3.4,2.6k
G4S,4.0,2.6k
Voltas,4.0,2.6k
Exl India,3.5,2.6k
Sonalika Tractors,3.6,2.6k
Blue Star,4.1,2.6k
Ajanta Pharma,3.9,2.6k
Care Health Insurance,3.6,2.6k
BlackBuck,3.7,2.6k
Domino's Pizza,3.9,2.6k
Movate,3.1,2.6k
Gallagher,3.7,2.6k
NoBroker,3.0,2.6k
Fortis Healthcare,4.0,2.6k
Physicswallah,3.6,2.6k
Adani Power,3.7,2.6k
Himalaya Wellness,4.0,2.5k
DBS Bank,3.7,2.5k
ACT Fibernet,3.9,2.5k
Foxconn,3.9,2.5k
Foundever,3.3,2.5k
Tata Advanced Systems,3.7,2.5k
Sahrudaya Healthcare (Medicover Hospitals),4.4,2.5k
Photon Interactive,4.1,2.5k
BT Group,3.8,2.5k
Sterlite Technologies,3.8,2.5k
V-Mart,4.1,2.5k
Bajaj Electricals,3.9,2.5k
Alldigi Tech,3.9,2.5k
IntouchCX,2.7,2.5k
Sammaan Capital Limited,3.8,2.5k
Tractors and Farm Equipment,3.9,2.5k
Northern Trust Operating Services,3.6,2.5k
Laurus Labs,4.3,2.5k
JCB,3.9,2.5k
Parle Agro,4.0,2.5k
Planet Spark,3.8,2.4k
McDonald's,3.8,2.4k
Patanjali Ayurved,3.9,2.4k
Canara HSBC Life Insurance,3.6,2.4k
ICICI Securities,3.9,2.4k
Paras Hospital,4.1,2.4k
Statestreet HCL Services,3.4,2.4k
Emcure Pharmaceuticals,3.6,2.4k
Biocon Limited,4.1,2.4k
Hero FinCorp,3.9,2.4k
Mahindra Rural Housing Finance,4.0,2.4k
Intellect Design Arena,3.6,2.4k
Mahindra Holidays & Resorts,3.5,2.4k
Datamatics Global Services,3.4,2.4k
Adani Group,3.8,2.4k
CorroHealth Infotech,3.6,2.4k
Taj Hotels Resorts and Palaces,4.2,2.4k
Axis Direct,3.6,2.4k
Aditya Birla Group,4.1,2.4k
Cadila Pharmaceuticals,3.3,2.4k
Cholamandalam MS General Insurance,3.7,2.4k
3i Infotech,3.4,2.4k
Syngene International,3.8,2.4k
Info Edge,3.9,2.3k
Capgemini Engineering,3.4,2.3k
Bureau Veritas,3.8,2.3k
KocharTech,3.6,2.3k
Delhi Public School,3.8,2.3k
Aavas Financiers,4.0,2.3k
RMSI,3.6,2.3k
Cybage,3.8,2.3k
TaskUs,3.0,2.3k
Xoriant,4.1,2.3k
Straive,3.3,2.3k
Sopra Steria,3.9,2.3k
Akums Drugs & Pharmaceuticals Limited,4.2,2.3k
Lifestyle,4.2,2.3k
Kia India,4.0,2.3k
GVK Emergency Management and Research Institute,3.6,2.3k
Eureka Forbes,3.7,2.3k
Sobha,3.8,2.3k
Apollo Pharmacy,3.6,2.3k
Lodha,4.1,2.2k
Unacademy,2.9,2.2k
Radisson Hotels,4.0,2.2k
Myntra,3.9,2.2k
Endurance Technologies Limited,3.9,2.2k
SBI Securities,3.6,2.2k
Team Computers,3.6,2.2k
TCE,3.8,2.2k
Panasonic Life Solutions India,3.9,2.2k
AWL Agri Business,4.0,2.2k
Lava International,3.9,2.2k
GAO Tek,4.5,2.2k
Newgen Software Technologies,4.0,2.2k
Star Union Dai-ichi Life Insurance,3.8,2.2k
Daikin Airconditioning India Pvt. Ltd.,4.2,2.2k
Whirlpool,4.0,2.2k
Bharti AXA Life Insurance,3.6,2.2k
Cisco,4.1,2.2k
Indian Railways,4.2,2.2k
SBI General Insurance,3.6,2.2k
GlaxoSmithKline Pharmaceuticals,4.0,2.2k
BNP Paribas,3.7,2.2k
Coromandel International,4.1,2.2k
Nokia Networks,4.1,2.2k
Meesho,3.7,2.2k
Renault Nissan Technology & Business Centre India,3.7,2.2k
Sify Technologies,3.6,2.2k
Shahi Exports,3.9,2.2k
ValueLabs,3.5,2.2k
Ambuja Cements,3.8,2.1k
Allstate,3.6,2.1k
Microsoft Corporation,3.8,2.1k
Bank of Baroda,3.5,2.1k
Life Insurance Corporation of India,4.4,2.1k
Brakes India,3.9,2.1k
Huawei Technologies,4.0,2.1k
BHEL,4.2,2.1k
Cargill,3.9,2.1k
Spark Minda,3.8,2.1k
upGrad,3.3,2.1k
Mercedes-Benz Research and Development India,3.6,2.1k
Poonawalla Fincorp,3.6,2.1k
CAMS,3.6,2.1k
Simplex Infrastructures,3.4,2.1k
Power Mech Projects,3.8,2.1k
Generali Central Life Insurance,3.5,2.1k
Pfizer,3.9,2.1k
FirstCry,3.6,2.1k
Bharat Petroleum,4.2,2.1k
Saint-Gobain,3.9,2.1k
Jio Platforms,3.4,2.1k
Force Motors,3.7,2.1k
"Maruti Suzuki India Limited, Hansalpur",4.2,2.1k
Nuvoco Vistas,4.1,2.1k
NTT DATA Business Solutions,4.1,2.1k
Kotak Securities,3.5,2.1k
Manipal Hospitals,4.1,2.1k
JK Tyre,3.7,2.1k
Ola Cabs,3.3,2.1k
Raymond Lifestyle Limited,4.1,2.1k
Reliance Trends,4.0,2.1k
ITC Hotels,4.1,2k
CitiusTech,3.2,2k
Renault-Nissan,4.1,2k
IndusInd General Insurance,3.6,2k
Delphi TVS,3.8,2k
Infinite Computer Solutions,3.3,2k
Biological E,4.2,2k
Henry Harvin Education,3.6,2k
Extramarks Education,3.3,2k
Morgan Stanley,3.6,2k
SGS,3.8,2k
YASH Technologies,3.7,2k
EPAM Systems,3.7,2k
K12 Techno Services,3.7,2k
Senco Gold,4.4,2k
Ninjacart,3.8,2k
Novartis,4.1,2k
State Street Syntel,3.7,2k
SAP,4.1,2k
IDBI Bank,3.4,2k
HSBC Electronic Data Processing,4.0,2k
Narayana Health,4.0,2k
AECOM,4.2,2k
Aditya Birla Health Insurance Co,3.7,2k
L&T Energy Hydrocarbon,3.8,1.9k
Paisabazaar.com,3.4,1.9k
Honeywell Automation,3.7,1.9k
Schindler,3.9,1.9k
Shadowfax Technologies,3.5,1.9k
Haier Appliances India,4.0,1.9k
Motherson Automotive Technologies and Engineering,3.8,1.9k
Trent,3.8,1.9k
R.R. Donnelley,3.6,1.9k
Philips,3.8,1.9k
V-Guard Industries,4.3,1.9k
Microland,3.5,1.9k
Dr Lal PathLabs,4.2,1.9k
Uflex,3.8,1.9k
NCR Voyix,3.5,1.9k
Parle Products,3.9,1.9k
Gabriel India Limited,4.1,1.9k
CMS Infosystems,3.5,1.9k
Spinny,3.7,1.9k
Crisil,3.5,1.9k
Globiva,3.0,1.9k
Google,4.4,1.9k
Adecco Group,3.8,1.9k
Tekwissen,4.9,1.9k
CNH (Case New Holland),3.7,1.9k
Lucas-TVS,3.9,1.9k
Angel One,3.6,1.9k
DHL Supply Chain,4.2,1.9k
Safexpress,3.9,1.9k
Aye Finance,4.1,1.9k
Aadhar Housing Finance,4.0,1.9k
G R Infraprojects,4.1,1.9k
NTPC,4.2,1.9k
HTC Global Services,3.4,1.9k
Thomson Reuters,3.8,1.9k
Iris Software,3.8,1.9k
Infinx,3.7,1.9k
Tata Tele Business Services,3.6,1.9k
Tata Power,3.9,1.9k
Trident Group,3.3,1.9k
Hindustan Aeronautics,4.3,1.9k
PI Industries,3.8,1.8k
TVS Sundram Fasteners,3.6,1.8k
Torrent Power,3.8,1.8k
ICICI Home Finance,3.7,1.8k
KENT RO Systems,3.8,1.8k
CSB Bank,3.2,1.8k
NeoSOFT,3.4,1.8k
Jindal Saw,4.0,1.8k
Aragen Life Sciences,3.9,1.8k
Medi Assist India,3.5,1.8k
First American (India),3.5,1.8k
Verizon,3.5,1.8k
Polycab Wires,4.0,1.8k
TELUS Digital,3.6,1.8k
Honda Cars,4.3,1.8k
AXA Global Business Services,3.8,1.8k
Fusion CX,3.3,1.8k
Infra.Market,3.9,1.8k
AkzoNobel,4.1,1.8k
Sterling & Wilson,4.0,1.8k
Capri Global Capital,3.6,1.8k
Godrej Properties,3.6,1.8k
Innovsource Services,3.9,1.8k
Stellar Migration,1.3,1.8k
Haldiram Foods International Limited,3.8,1.8k
Cafe Coffee Day,3.7,1.8k
DIVI'S Laboratories,3.6,1.8k
MetLife,4.0,1.8k
Hindustan Petroleum,4.2,1.8k
SS&C TECHNOLOGIES,3.2,1.8k
Digit Insurance,3.7,1.7k
Tata Communications Transformation Services,3.8,1.7k
Kalyan Jewellers,4.4,1.7k
USHA International,4.1,1.7k
Reckitt Benckiser,3.9,1.7k
Air India,3.4,1.7k
Security and Intelligence Services (India),4.0,1.7k
Future Retail,4.4,1.7k
Dhani Loans and Services,3.9,1.7k
USV,4.0,1.7k
Isgec Heavy Engineering,3.8,1.7k
HDFC Securities,3.4,1.7k
BT Business,3.9,1.7k
Vedantu,3.3,1.7k
LivSpace,3.3,1.7k
Pine Labs,3.3,1.7k
Adani Green Energy,3.9,1.7k
Bata,3.5,1.7k
Annapurna Finance,3.9,1.7k
XBP Global,3.2,1.7k
Metro Cash & Carry,4.0,1.7k
Mother Dairy Fruit & Vegetable,4.0,1.7k
Indian Navy,4.6,1.7k
BVG India,4.2,1.7k
NEC,4.0,1.7k
Granules India Limited,3.8,1.7k
Provana,3.9,1.7k
Sysnet Global Technologies,3.7,1.7k
Orange Business,4.1,1.7k
Cavinkare,4.0,1.7k
Rungta Mines,4.0,1.7k
Orchids International School,3.9,1.7k
Medanta the Medicity,4.0,1.7k
Hitachi Astemo,4.0,1.7k
FactSet,3.7,1.7k
Frankfinn Institute of Air Hostess Training,3.9,1.7k
Caterpillar Inc,4.1,1.7k
HighRadius,2.5,1.7k
Cushman & Wakefield,4.1,1.7k
TTEC India,3.7,1.7k
KONE,4.1,1.6k
Yamaha Motor,4.1,1.6k
MagicBricks,4.0,1.6k
Rane (Madras),3.9,1.6k
DHL Express,4.1,1.6k
JSW Bhushan Power & Steel,4.0,1.6k
BA Continuum,3.9,1.6k
L.G.Balakrishnan & Bros,3.5,1.6k
Wipro Enterprises Ltd,3.8,1.6k
Procter & Gamble,4.0,1.6k
Compass Group Support Services,4.0,1.6k
American Broadcasting Company,4.0,1.6k
Johnson & Johnson,4.0,1.6k
Tata Play,4.0,1.6k
Vardhman Fabrics,4.0,1.6k
Matrimony.com,4.0,1.6k
CG Power and Industrial Solutions,3.8,1.6k
Patanjali Foods,3.7,1.6k
Hero Motors Company,3.9,1.6k
